KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]

u	的
f	一
o	是
c	不
r	了
n	在
t	我
j	人
je	他
vu	这
nv	有
jg	个
m	大
yf	上
d	中
a	来
ge	地
x	和
s	说
i	为
ja	们
y	到
jx	你
g	就
e	也
vj	以
rn	国
au	那
v	要
ok	时
sm	出
gq	着
z	可
h	道
ri	之
rk	对
jb	会
oi	自
l	而
w	得
fy	下
k	能
ku	过
ls	生
hi	子
fn	于
ev	年
xf	后
sr	发
q	都
dl	里
kr	没
cu	还
mt	所
gk	去
uq	看
fd	事
b	如
ty	用
yx	小
jw	作
ll	多
p	行
dh	只
bh	好
na	成
wj	家
fm	天
be	她
lf	方
vm	然
yb	当
hx	心
pv	起
xd	种
eqh	想
ir	经
ne	现
jo	但
kg	法
du	无
mf	同
tk	么
qu	进
kw	学
bm	面
zh	其
hv	前
vi	已
in	主
jj	从
bs	动
hp	分
umb	把
fl	开
wyc	军
ry	又
ml	两
ef	本
rm	因
wt	定
id	部
fa	与
alk	将
or	日
pc	长
ndl	理
ts	三
svm	些
ww	实
egy	样
ns	十
xh	意
od	知
sv	此
rt	第
sl	力
wi	很
fsi	正
gg	高
us	手
jns	什
zs	身
tr	被
wv	它
ov	明
ql	老
qo	者
hk	公
ej	见
eo	机
tm	向
adk	问
oq	最
jf	使
jn	全
yd	点
ha	情
lyb	外
dm	民
hl	并
ydp	战
hmd	关
ug	工
rd	回
rg	等
eqm	相
me	二
ldl	重
dy	由
wm	头
gc	声
hls	性
xk	应
ao	间
sa	话
vw	文
ij	给
gm	美
cy	业
qne	物
nq	真
jef	体
pdf	或
fsh	政
oj	几
mj	内
xp	利
ua	打
pz	走
ie	新
ji	位
vx	西
fmg	再
ixc	产
sd	加
vy	月
gkz	却
qp	先
qrp	制
qg	特
qem	果
ryx	东
fog	神
pe	儿
nt	才
am	门
mi	太
jdk	合
js	信
ati	表
xu	原
bn	女
fo	更
vjj	己
ld	名
il	立
vv	比
jp	代
ys	四
zht	斯
jt	任
we	次
la	世
jfo	便
dtj	听
uo	提
jc	做
kek	海
ks	水
qhh	教
qi	眼
jvb	化
kt	通
nf	感
nw	王
sg	各
dk	口
vq	气
ds	别
yt	少
hy	处
eh	平
srj	常
xt	解
jz	何
uib	接
qm	目
xr	反
zc	变
rtm	笑
hd	总
ju	入
sj	认
he	条
wb	安
zj	金
cj	及
xlr	度
syf	让
vs	山
nm	马
ywr	受
ka	活
igd	结
pb	数
nqf	直
ht	必
ub	白
uv	指
bp	张
uz	报
sjl	论
do	员
ib	义
lh	放
oa	电
yi	至
wu	五
tis	系
rui	难
jdz	命
bu	建
xyx	尔
jq	件
gv	死
jde	保
wmp	完
se	许
ot	题
ga	场
eu	空
sn	计
wh	怎
mg	光
rwk	管
rf	非
wn	德
bd	强
ofd	量
wnj	决
fle	形
jwx	像
zhv	期
weo	资
tjr	队
kav	清
hs	务
dr	嗯
ibp	统
aa	书
zr	市
afd	司
pf	师
jin	住
iz	即
cp	克
lw	带
cf	飞
nmg	南
nb	区
ehi	李
op	则
kwe	觉
ab	交
fg	社
jae	今
zhg	基
av	北
cl	展
jm	传
yu	连
di	叫
kk	治
psg	路
fp	万
qd	告
xj	科
dcv	呢
qh	思
mu	达
svj	记
ym	转
fv	望
su	边
hn	快
obi	风
xm	色
sk	该
qjp	界
wx	象
er	权
ui	拉
srs	设
fq	且
qr	取
eg	干
ih	收
ssi	步
jkw	领
ee	林
ei	根
win	往
iem	亲
ec	极
fk	求
aw	未
ek	每
xdn	程
pug	式
thb	兵
uc	据
pmd	类
sy	言
hej	规
dmb	吧
ddd	品
mx	确
rej	观
gna	城
dc	虽
th	失
es	格
mp	远
sh	办
mpe	元
buc	运
jks	令
lhb	共
jvj	似
wui	准
sav	请
fps	武
gs	士
vh	改
lm	英
eid	术
yc	车
ms	石
kwh	深
qhm	联
xb	争
dn	吗
tw	院
yr	轻
ch	火
yl	罗
fu	百
hf	夫
zb	离
lj	花
tu	近
rpd	切
sdh	识
qdu	造
if	组
kb	流
rql	算
nrj	布
vk	导
on	早
up	找
jgn	候
kl	满
vz	服
wk	官
xhf	整
yw	爱
whi	字
ugk	持
pig	跟
emq	突
og	影
kyv	消
tn	随
de	吃
im	商
sf	证
hq	单
sib	议
pn	越
ng	存
um	击
pa	精
kqq	济
bkd	始
kd	台
ph	黑
smg	调
tle	需
ci	支
bem	杀
rnt	团
usl	功
qhb	具
jvn	华
vjk	脸
xjk	府
ue	集
mgd	周
tuja	我们
avy	青
iug	红
rr	双
kj	九
hb	八
ap	片
hu	半
whg	容
hr	曾
dt	啊
tz	阿
lk	落
ocy	显
tjx	除
ciw	尽
spe	党
opd	照
jjj	众
hqt	备
eoh	复
try	陈
pat	断
jjp	价
oivj	自己
ini	约
wf	写
nvs	包
icj	级
dsl	另
afm	病
xno	质
xxy	称
jy	倒
kug	江
ixm	绝
ah	敌
nh	黄
uci	技
al	六
no	朝
fijg	一个
kx	派
ifp	线
iyd	站
ekj	究
agti	装
fcy	亚
ho	首
mbp	刚
fs	示
fe	视
wd	况
ghr	增
sc	谈
hgy	惊
cg	古
db	史
sui	谁
bgs	引
ew	须
rq	七
ohx	息
mfl	研
tfs	际
dd	器
one	易
bq	留
uu	推
jjg	坐
mlf	房
xg	广
ki	注
eof	查
sw	语
jah	念
lnd	若
mzk	奇
pr	紧
jsi	企
bnr	希
xbn	委
dtm	响
df	号
kme	参
ukis	势
xsl	历
jkf	剑
uh	攻
wjk	冷
urs	投
dau	哪
wti	农
ma	专
rhw	图
qf	考
qpu	选
ihw	终
wvf	微
un	皇
gt	土
cad	局
ol	星
pu	足
vp	刘
zha	甚
fcx	严
nos	医
qsl	男
lwd	营
thn	乎
jr	仅
hbi	父
jdu	拿
hkh	孩
rjd	答
to	费
efs	标
jti	依
khb	兴
krnv	没有
jbi	低
lq	千
jv	仍
xbh	急
umh	护
xpe	竟
ze	某
yab	较
tlf	防
gp	列
sq	讲
mr	破
ws	客
le	施
chp	故
tam	血
lz	节
by	云
tl	龙
zf	钱
lsh	苏
km	母
jes	伤
khu	举
leo	族
uwb	按
iu	维
jgh	修
iwr	帝
kz	河
nfb	威
mb	巴
pp	划
yh	致
wbe	案
tg	革
xbi	底
hm	送
wdg	冲
xy	音
mih	态
gl	够
uf	段
enk	构
bt	群
iod	船
aob	责
lcg	苦
xns	章
wbv	律
xuy	愿
rgw	围
gyx	京
ti	衣
hdk	喜
jntk	什么
mc	独
abh	效
jd	斗
iq	细
hub	怕
gh	志
pm	米
owp	晚
uk	热
uw	项
pj	料
jgp	例
bch	灵
wht	密
wadk	害
jlh	供
ct	属
nj	验
jeja	他们
gx	境
vmm	毛
irs	般
ccg	居
ip	继
zl	错
kwo	沉
ye	采
idu	既
whf	察
cd	否
uvv	批
vzb	脑
zjv	夜
vr	股
xuc	速
ivj	纪
ina	续
jcm	假
at	帮
byx	乐
tum	陆
flpg	型
iuc	退
nr	友
zt	铁
kry	汉
ox	暗
amq	状
nu	左
gj	句
tqt	雷
mbb	网
zi	率
jnq	值
hco	普
ak	承
jga	停
sp	试
bhq	弹
si	止
qdh	职
li	药
xi	久
bfz	印
zfi	卫
fsl	助
sus	掌
idh	织
tor	阳
wgk	待
zkvj	可以
tpd	初
tku	追
em	木
dj	哈
jxy	您
iw	预
kp	刻
jzp	创
st	诉
ra	简
zkc	射
tig	限
nfk	球
gu	差
erk	树
eab	校
hts	兰
hrg	怪
tyc	阵
vl	异
wfs	宗
krp	波
bvy	育
kul	激
uof	担
fsw	顿
kle	游
bpe	充
zig	银
auc	适
gyot	就是
ytq	省
cvy	胡
qs	食
lg	警
ais	素
cvb	尼
ur	排
xo	负
avv	背
neh	忽
ky	酒
el	穿
ff	福
htf	弟
hc	怀
re	欢
nc	环
upd	招
elo	模
vls	胜
akt	痛
zx	习
tjkf	险
ont	财
kam	益
wni	宝
vg	脚
vo	疑
aae	乱
peg	赶
prg	坚
lmm	获
lws	劳
uwy	挥
aqh	敢
vujg	这个
yn	置
nd	右
xgi	压
xor	香
cb	层
qsg	略
avx	静
ekc	村
cbot	不是
lkz	范
kxu	源
fdq	副
oo	州
imj	纳
vlx	岁
yrf	罪
jxh	余
aq	闻
ydk	占
ni	玉
zz	哥
ea	杨
